case_id,block,intent,pair_eligible,v0_1_eligible,rc_1_eligible,exclusion_reason,v0_1_D1,v0_1_D2,v0_1_D3,v0_1_D4,v0_1_D5,v0_1_D6,rc_1_D1,rc_1_D2,rc_1_D3,rc_1_D4,rc_1_D5,rc_1_D6,delta_D1,delta_D2,delta_D3,delta_D4,delta_D5,delta_D6,v0_1_overall_mean,rc_1_overall_mean,delta_overall_mean,v0_1_successful_repeats,rc_1_successful_repeats,v0_1_critical_flags,rc_1_critical_flags,new_flags,removed_flags
PILOT-A-COR-01,A,corrective_feedback,True,True,True,,4.0,4.0,4.0,3.6667,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.3333,0.0,0.0,-1.0,0.3333,0.0,-0.6667,98.61,93.0567,-5.5533,3,3,,,,
PILOT-A-COR-02,A,corrective_feedback,True,True,True,,4.0,4.0,4.0,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.5,0.5,0.0,95.83,100.0,4.17,2,3,,,,
PILOT-A-ELI-01,A,elicitation,True,True,True,,4.0,4.0,4.0,3.6667,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.3333,0.0,0.0,98.61,100.0,1.39,3,3,,,,
PILOT-A-ELI-02,A,elicitation,True,True,True,,4.0,4.0,4.0,3.6667,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.3333,0.0,0.0,98.61,100.0,1.39,3,3,,,,
PILOT-A-EXP-01,A,explanation,True,True,True,,4.0,4.0,3.6667,2.6667,3.3333,4.0,4.0,4.0,4.0,3.6667,4.0,4.0,0.0,0.0,0.3333,1.0,0.6667,0.0,90.2767,98.61,8.3333,3,3,,,,
PILOT-A-EXP-02,A,explanation,False,False,True,v0_1_side_ineligible,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,100.0,,0,3,,,,
PILOT-A-EXT-01,A,extension,True,True,True,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,3,3,,,,
PILOT-A-EXT-02,A,extension,True,True,True,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,2,3,,,,
PILOT-A-SCA-01,A,scaffolding,True,True,True,,4.0,4.0,4.0,3.6667,3.3333,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.3333,0.6667,0.0,95.8333,100.0,4.1667,3,3,,,,
PILOT-A-SCA-02,A,scaffolding,True,True,True,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,95.83,100.0,4.17,3,3,,,,
PILOT-A-SUP-01,A,supportive_feedback,True,True,True,,4.0,4.0,4.0,4.0,3.3333,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.6667,0.0,97.22,100.0,2.78,3,3,,,,
PILOT-A-SUP-02,A,supportive_feedback,True,True,True,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,95.83,100.0,4.17,3,3,,,,
PILOT-B-COR-01,B,corrective_feedback,True,True,True,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,2,3,,,,
PILOT-B-COR-02,B,corrective_feedback,True,True,True,,4.0,4.0,4.0,4.0,3.6667,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.3333,0.0,98.61,100.0,1.39,3,3,,,,
PILOT-B-ELI-01,B,elicitation,True,True,True,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,3,3,,,,
PILOT-B-ELI-02,B,elicitation,True,True,True,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,3,3,,,,
PILOT-B-EXP-01,B,explanation,True,True,True,,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,95.83,100.0,4.17,3,2,,,,
PILOT-B-EXP-02,B,explanation,True,True,True,,4.0,4.0,4.0,3.3333,2.6667,3.6667,4.0,4.0,4.0,3.6667,4.0,4.0,0.0,0.0,0.0,0.3334,1.3333,0.3333,90.2767,98.61,8.3333,3,3,,,,
PILOT-B-EXT-01,B,extension,True,True,True,,4.0,4.0,4.0,4.0,3.0,3.6667,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.3333,94.4433,100.0,5.5567,3,3,,,,
