case_id,block,block_name,intent,eligible,exclusion_reason,successful_repeats,successful_semantic_repeats,failed_semantic_repeats,total_physical_attempts,first_attempt_successes,recovered_by_retry_count,exhausted_repeat_count,D1,D2,D3,D4,D5,D6,overall_mean,critical_flags,repeat_level_flags,failure_types,attempt_failure_types,weak_dimensions,severe_dimensions
PILOT-A-COR-01,A,controlled_contrast,corrective_feedback,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,3.6667,4.0,4.0,98.61,,,,,,
PILOT-A-COR-02,A,controlled_contrast,corrective_feedback,True,,2,2,1,5,2,0,1,4.0,4.0,4.0,3.5,3.5,4.0,95.83,,,evidence_grounding_error,evidence_grounding_error|judge_output_schema_error|judge_response_parse_error,,
PILOT-A-ELI-01,A,controlled_contrast,elicitation,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,3.6667,4.0,4.0,98.61,,,,,,
PILOT-A-ELI-02,A,controlled_contrast,elicitation,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,3.6667,4.0,4.0,98.61,,,,,,
PILOT-A-EXP-01,A,controlled_contrast,explanation,True,,3,3,0,4,2,1,0,4.0,4.0,3.6667,2.6667,3.3333,4.0,90.2767,,,,evidence_grounding_error,D4,
PILOT-A-EXP-02,A,controlled_contrast,explanation,False,excluded_due_to_operational_failure,0,0,3,9,0,0,3,,,,,,,,,,evidence_grounding_error|judge_response_parse_error,evidence_grounding_error|judge_response_parse_error,,
PILOT-A-EXT-01,A,controlled_contrast,extension,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,
PILOT-A-EXT-02,A,controlled_contrast,extension,True,,2,2,1,5,2,0,1,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,evidence_grounding_error,evidence_grounding_error,,
PILOT-A-SCA-01,A,controlled_contrast,scaffolding,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,3.6667,3.3333,4.0,95.8333,,,,,,
PILOT-A-SCA-02,A,controlled_contrast,scaffolding,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,4.0,3.0,4.0,95.83,,,,,,
PILOT-A-SUP-01,A,controlled_contrast,supportive_feedback,True,,3,3,0,4,2,1,0,4.0,4.0,4.0,4.0,3.3333,4.0,97.22,,,,evidence_grounding_error,,
PILOT-A-SUP-02,A,controlled_contrast,supportive_feedback,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,4.0,3.0,4.0,95.83,,,,,,
PILOT-B-COR-01,B,cross_domain_generalization,corrective_feedback,True,,2,2,1,6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,evidence_grounding_error,evidence_grounding_error,,
PILOT-B-COR-02,B,cross_domain_generalization,corrective_feedback,True,,3,3,0,5,1,2,0,4.0,4.0,4.0,4.0,3.6667,4.0,98.61,,,,evidence_grounding_error,,
PILOT-B-ELI-01,B,cross_domain_generalization,elicitation,True,,3,3,0,4,2,1,0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,evidence_grounding_error,,
PILOT-B-ELI-02,B,cross_domain_generalization,elicitation,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,
PILOT-B-EXP-01,B,cross_domain_generalization,explanation,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,3.0,4.0,4.0,95.83,,,,,,
PILOT-B-EXP-02,B,cross_domain_generalization,explanation,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,3.3333,2.6667,3.6667,90.2767,,,,,D5,
PILOT-B-EXT-01,B,cross_domain_generalization,extension,True,,3,3,0,4,2,1,0,4.0,4.0,4.0,4.0,3.0,3.6667,94.4433,,,,evidence_grounding_error,,
PILOT-B-EXT-02,B,cross_domain_generalization,extension,False,excluded_due_to_operational_failure,1,1,2,9,0,1,2,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,judge_response_parse_error,evidence_grounding_error|judge_response_parse_error,,
PILOT-B-SCA-01,B,cross_domain_generalization,scaffolding,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,4.0,3.0,4.0,95.83,,,,,,
PILOT-B-SCA-02,B,cross_domain_generalization,scaffolding,False,excluded_due_to_operational_failure,0,0,3,9,0,0,3,,,,,,,,,,evidence_grounding_error,evidence_grounding_error|judge_api_error,,
PILOT-B-SUP-01,B,cross_domain_generalization,supportive_feedback,True,,2,2,1,6,1,1,1,4.0,4.0,4.0,4.0,3.5,4.0,97.915,,,judge_api_error,evidence_grounding_error|judge_api_error,,
PILOT-B-SUP-02,B,cross_domain_generalization,supportive_feedback,True,,2,2,1,6,1,1,1,4.0,4.0,4.0,4.0,3.0,4.0,95.83,,,judge_response_parse_error,judge_response_parse_error,,
PILOT-C-COR-01,C,hard_adversarial,corrective_feedback,False,excluded_due_to_operational_failure,0,0,3,9,0,0,3,,,,,,,,,,evidence_grounding_error|judge_response_parse_error,evidence_grounding_error|judge_response_parse_error,,
PILOT-C-ELI-01,C,hard_adversarial,elicitation,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,
PILOT-C-EXP-01,C,hard_adversarial,explanation,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,4.0,3.0,4.0,95.83,,,,,,
PILOT-C-EXT-01,C,hard_adversarial,extension,True,,3,3,0,3,3,0,0,4.0,4.0,4.0,3.6667,3.3333,3.6667,94.4433,,,,,,
PILOT-C-SCA-01,C,hard_adversarial,scaffolding,True,,3,3,0,4,2,1,0,3.3333,4.0,3.6667,3.0,3.0,3.6667,86.11,,,,judge_response_parse_error,,
PILOT-C-SUP-01,C,hard_adversarial,supportive_feedback,True,,2,2,1,5,2,0,1,4.0,4.0,4.0,4.0,3.0,4.0,95.83,,,judge_response_parse_error,judge_response_parse_error,,
